2026-07-11 14:10:57 | INFO     | main | Starting run - targets=['news'] formats=['csv', 'json']
2026-07-11 14:10:57 | INFO     | scraper | Scraping news page 1/2: https://news.ycombinator.com/
2026-07-11 14:10:59 | INFO     | scraper | Scraping news page 2/2: https://news.ycombinator.com/?p=2
2026-07-11 14:11:00 | INFO     | scraper | News scrape complete: 60 articles collected
2026-07-11 14:11:00 | INFO     | exporter | Wrote 60 row(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\news.csv
2026-07-11 14:11:00 | INFO     | exporter | Wrote 60 record(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\news.json
2026-07-11 14:11:37 | INFO     | main | Starting run - targets=['products'] formats=['csv', 'json']
2026-07-11 14:11:38 | INFO     | scraper | Scraping products page 1/3: https://books.toscrape.com/
2026-07-11 14:11:40 | INFO     | scraper | Scraping products page 2/3: https://books.toscrape.com/catalogue/page-2.html
2026-07-11 14:11:42 | INFO     | scraper | Scraping products page 3/3: https://books.toscrape.com/catalogue/page-3.html
2026-07-11 14:11:44 | INFO     | scraper | Product scrape complete: 60 products collected
2026-07-11 14:11:44 | INFO     | exporter | Wrote 60 row(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\products.csv
2026-07-11 14:11:44 | INFO     | exporter | Wrote 60 record(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\products.json
2026-07-11 14:11:54 | INFO     | main | Starting run - targets=['jobs'] formats=['csv', 'json']
2026-07-11 14:11:54 | INFO     | scraper | Scraping jobs: https://realpython.github.io/fake-jobs/
2026-07-11 14:11:56 | INFO     | scraper | Job scrape complete: 100 listings collected
2026-07-11 14:11:56 | INFO     | exporter | Wrote 100 row(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\jobs.csv
2026-07-11 14:11:56 | INFO     | exporter | Wrote 100 record(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\jobs.json
2026-07-11 14:12:06 | INFO     | main | Starting run - targets=['news', 'products', 'jobs'] formats=['csv', 'json']
2026-07-11 14:12:06 | INFO     | scraper | Scraping news page 1/2: https://news.ycombinator.com/
2026-07-11 14:12:08 | INFO     | scraper | Scraping news page 2/2: https://news.ycombinator.com/?p=2
2026-07-11 14:12:09 | INFO     | scraper | News scrape complete: 60 articles collected
2026-07-11 14:12:09 | INFO     | exporter | Wrote 60 row(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\news.csv
2026-07-11 14:12:09 | INFO     | exporter | Wrote 60 record(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\news.json
2026-07-11 14:12:09 | INFO     | scraper | Scraping products page 1/3: https://books.toscrape.com/
2026-07-11 14:12:12 | INFO     | scraper | Scraping products page 2/3: https://books.toscrape.com/catalogue/page-2.html
2026-07-11 14:12:14 | INFO     | scraper | Scraping products page 3/3: https://books.toscrape.com/catalogue/page-3.html
2026-07-11 14:12:16 | INFO     | scraper | Product scrape complete: 60 products collected
2026-07-11 14:12:16 | INFO     | exporter | Wrote 60 row(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\products.csv
2026-07-11 14:12:16 | INFO     | exporter | Wrote 60 record(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\products.json
2026-07-11 14:12:16 | INFO     | scraper | Scraping jobs: https://realpython.github.io/fake-jobs/
2026-07-11 14:12:17 | INFO     | scraper | Job scrape complete: 100 listings collected
2026-07-11 14:12:17 | INFO     | exporter | Wrote 100 row(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\jobs.csv
2026-07-11 14:12:17 | INFO     | exporter | Wrote 100 record(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\jobs.json
2026-07-11 14:12:38 | INFO     | main | Starting run - targets=['news'] formats=['json']
2026-07-11 14:12:38 | INFO     | scraper | Scraping news page 1/3: https://news.ycombinator.com/
2026-07-11 14:12:40 | INFO     | scraper | Scraping news page 2/3: https://news.ycombinator.com/?p=2
2026-07-11 14:12:41 | INFO     | scraper | Scraping news page 3/3: https://news.ycombinator.com/?p=3
2026-07-11 14:12:43 | INFO     | scraper | News scrape complete: 90 articles collected
2026-07-11 14:12:43 | INFO     | exporter | Wrote 90 record(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\news.json
2026-07-11 14:12:54 | INFO     | main | Starting run - targets=['products'] formats=['csv', 'json']
2026-07-11 14:12:54 | INFO     | scraper | Scraping products page 1/3: https://books.toscrape.com/
2026-07-11 14:12:57 | INFO     | scraper | Scraping products page 2/3: https://books.toscrape.com/catalogue/page-2.html
2026-07-11 14:12:58 | INFO     | scraper | Scraping products page 3/3: https://books.toscrape.com/catalogue/page-3.html
2026-07-11 14:13:00 | INFO     | scraper | Product scrape complete: 60 products collected
2026-07-11 14:13:00 | DEBUG    | utils | ProductScraper.scrape took 6.1s
2026-07-11 14:13:00 | INFO     | exporter | Wrote 60 row(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\products.csv
2026-07-11 14:13:00 | INFO     | exporter | Wrote 60 record(s) to H:\AIML Job project\Python\Web-Scraper-Toolkit\output\products.json
