source_url,scraped_at,title,company,location,job_type,date_posted,job_url
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Senior Python Developer,"Payne, Roberts and Davis","Stewartbury, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/senior-python-developer-0.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Energy engineer,Vasquez-Davidson,"Christopherville, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/energy-engineer-1.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Legal executive,"Jackson, Chambers and Levy","Port Ericaburgh, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/legal-executive-2.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Fitness centre manager,Savage-Bradley,"East Seanview, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/fitness-centre-manager-3.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Product manager,Ramirez Inc,"North Jamieview, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/product-manager-4.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Medical technical officer,Rogers-Yates,"Davidville, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/medical-technical-officer-5.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Physiological scientist,Kramer-Klein,"South Christopher, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/physiological-scientist-6.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Textile designer,Meyers-Johnson,"Port Jonathan, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/textile-designer-7.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Television floor manager,Hughes-Williams,"Osbornetown, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/television-floor-manager-8.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Waste management officer,"Jones, Williams and Villa","Scotttown, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/waste-management-officer-9.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Software Engineer (Python),Garcia PLC,"Ericberg, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/software-engineer-python-10.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Interpreter,Gregory and Sons,"Ramireztown, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/interpreter-11.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Architect,"Clark, Garcia and Sosa","Figueroaview, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/architect-12.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Meteorologist,Bush PLC,"Kelseystad, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/meteorologist-13.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Audiological scientist,Salazar-Meyers,"Williamsburgh, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/audiological-scientist-14.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,English as a second language teacher,"Parker, Murphy and Brooks","Mitchellburgh, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/english-as-a-second-language-teacher-15.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Surgeon,Cruz-Brown,"West Jessicabury, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/surgeon-16.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Equities trader,Macdonald-Ferguson,"Maloneshire, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/equities-trader-17.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Newspaper journalist,"Williams, Peterson and Rojas","Johnsonton, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/newspaper-journalist-18.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Materials engineer,Smith and Sons,"South Davidtown, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/materials-engineer-19.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Python Programmer (Entry-Level),"Moss, Duncan and Allen","Port Sara, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/python-programmer-entry-level-20.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Product/process development scientist,Gomez-Carroll,"Marktown, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/product-process-development-scientist-21.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Scientist, research (maths)","Manning, Welch and Herring","Laurenland, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/scientist-research-maths-22.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Ecologist,"Lee, Gutierrez and Brown","Lauraton, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/ecologist-23.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Materials engineer,"Davis, Serrano and Cook","South Tammyberg, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/materials-engineer-24.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Historic buildings inspector/conservation officer,Smith LLC,"North Brandonville, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/historic-buildings-inspector-conservation-officer-25.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Data scientist,Thomas Group,"Port Robertfurt, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/data-scientist-26.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Psychiatrist,Silva-King,"Burnettbury, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/psychiatrist-27.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Structural engineer,Pierce-Long,"Herbertside, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/structural-engineer-28.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Immigration officer,Walker-Simpson,"Christopherport, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/immigration-officer-29.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Python Programmer (Entry-Level),Cooper and Sons,"West Victor, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/python-programmer-entry-level-30.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Neurosurgeon,"Donovan, Gonzalez and Figueroa","Port Aaron, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/neurosurgeon-31.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Broadcast engineer,"Morgan, Butler and Bennett","Loribury, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/broadcast-engineer-32.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Make,Snyder-Lee,"Angelastad, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/make-33.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Nurse, adult",Harris PLC,"Larrytown, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/nurse-adult-34.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Air broker,Washington PLC,"West Colin, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/air-broker-35.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Editor, film/video","Brown, Price and Campbell","West Stephanie, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/editor-film-video-36.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Production assistant, radio",Mcgee PLC,"Laurentown, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/production-assistant-radio-37.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Engineer, communications",Dixon Inc,"Wrightberg, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/engineer-communications-38.html
