source_url,scraped_at,title,rank,points,author,comments_count,article_url
https://news.ycombinator.com/,2026-07-11T08:42:08+00:00,Companies are scrambling to curtail soaring AI costs,1,11,nlpnerd,1,https://www.economist.com/business/2026/06/14/companies-are-scrambling-to-curtail-soaring-ai-costs
https://news.ycombinator.com/,2026-07-11T08:42:08+00:00,"Einstein's relativity rules chemical bonds in heavy elements, new research shows",2,222,hhs,78,https://www.brown.edu/news/2026-07-09/chemical-bonds-relativity
https://news.ycombinator.com/,2026-07-11T08:42:08+00:00,QuadRF can spot drones and see WiFi through my wall,3,562,speckx,192,https://www.jeffgeerling.com/blog/2026/quadrf-can-spot-drones-and-see-wifi-through-my-wall/
https://news.ycombinator.com/,2026-07-11T08:42:08+00:00,"Apple sues OpenAI, accuses ex-employees of stealing trade secrets",4,1002,stock_toaster,511,https://9to5mac.com/2026/07/10/apple-sues-openai-trade-secret-theft/
https://news.ycombinator.com/,2026-07-11T08:42:08+00:00,The vintage beauty of Soviet control rooms (2018),5,71,mvdtnz,22,https://designyoutrust.com/2018/01/vintage-beauty-soviet-control-rooms/
https://news.ycombinator.com/,2026-07-11T08:42:08+00:00,An iroh powered smart fan,6,97,surprisetalk,21,https://www.iroh.computer/blog/an-iroh-powered-smart-fan
https://news.ycombinator.com/,2026-07-11T08:42:08+00:00,An update on residential proxies and the scraper situation,7,185,chmaynard,177,https://lwn.net/SubscriberLink/1080822/990a8a5e2d379085/
https://news.ycombinator.com/,2026-07-11T08:42:08+00:00,SpaceX wants to launch 100k more Starlink satellites for 100x the bandwidth,8,172,CrankyBear,554,https://www.zdnet.com/home-and-office/networking/spacex-wants-to-launch-100000-more-starlink-satellites/
https://news.ycombinator.com/,2026-07-11T08:42:08+00:00,Documentation is still in your Mum's filing cabinet,9,15,mooreds,4,https://gerireid.com/blog/organising-documentation-for-humans-and-ai/
https://news.ycombinator.com/,2026-07-11T08:42:08+00:00,Good Tools Are Invisible,10,417,theanonymousone,194,https://www.gingerbill.org/article/2026/07/10/good-tools-are-invisible/
https://news.ycombinator.com/,2026-07-11T08:42:08+00:00,AI 2040: Plan A,11,248,kschaul,249,https://ai-2040.com/
https://news.ycombinator.com/,2026-07-11T08:42:08+00:00,Silent speech with ultrasound,12,47,chrwn,11,https://alephneuro.com/blog/silent-speech
https://news.ycombinator.com/,2026-07-11T08:42:08+00:00,Combustion engine web-based simulator,13,161,mytuny,67,https://combustionlab.net
